product_id,seller_product_id,url,product_name,sold,review_count,rating,price,currency,categories,sku,brand,seller_name
275118234,275118235,https://tiki.vn/giay-in-decal-brother-dk-22225-38mm-x-30-48m-chu-den-nen-trang-dung-cho-may-in-brother-ql-hang-nhap-khau-p275118234.html?spid=275118235,Giấy in Decal Brother DK-22225 - 38mm x 30.48m - Chữ đen nền trắng - Dùng cho máy in BROTHER - QL [Hàng nhập khẩu],0,0,0.0,198850.0,VND,Nhãn In,6212533735934,Puty,Trần Nguyễn Technology
275114136,275114137,https://tiki.vn/ong-co-nhiet-hs2-641-den-nen-vang-17-7mm-x-1-5m-dung-cho-may-in-ong-brother-aimo-hang-nhap-khau-p275114136.html?spid=275114137,Ống co nhiệt HS2-641 - Đen nền vàng 17.7mm x 1.5m - Dùng cho máy in ống BROTHER - AIMO [Hàng nhập khẩu],0,0,0.0,203700.0,VND,Nhãn In,5049391141978,Puty,Trần Nguyễn Technology
275091719,275091720,https://tiki.vn/nhan-in-hze-461-den-nen-do-36mm-x-8m-hang-nhap-khau-p275091719.html?spid=275091720,Nhãn In HZE-461 - Đen nền đỏ 36mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,190000.0,VND,Nhãn In,4488081586523,Puty,Trần Nguyễn Technology
275063502,275063503,https://tiki.vn/nhan-in-hze-251-den-nen-trang-24mm-x-8m-hang-nhap-khau-p275063502.html?spid=275063503,Nhãn In HZE-251 - Đen nền trắng 24mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,180000.0,VND,Nhãn In,3638340781084,Puty,Trần Nguyễn Technology
275063505,275063506,https://tiki.vn/nhan-in-hze-261-den-nen-trang-36mm-x-8m-hang-nhap-khau-p275063505.html?spid=275063506,Nhãn In HZE-261 - Đen nền trắng 36mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,190000.0,VND,Nhãn In,5526858513498,Puty,Trần Nguyễn Technology
275104844,275104845,https://tiki.vn/nhan-in-hze-s431-den-nen-do-12mm-x-8m-hang-nhap-khau-p275104844.html?spid=275104845,Nhãn In HZE-S431 - Đen nền đỏ 12mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,150000.0,VND,Nhãn In,6634646779033,Puty,Trần Nguyễn Technology
275113237,275113238,https://tiki.vn/ong-co-nhiet-hs2-251-den-nen-trang-23-6mm-x-1-5m-dung-cho-may-in-ong-brother-aimo-hang-nhap-khau-p275113237.html?spid=275113238,Ống co nhiệt HS2-251 - Đen nền trắng 23.6mm x 1.5m - Dùng cho máy in ống BROTHER - AIMO [Hàng nhập khẩu],0,0,0.0,213400.0,VND,Nhãn In,3810941198870,Puty,Trần Nguyễn Technology
275110954,275110955,https://tiki.vn/nhan-in-hze-fx431-den-nen-do-12mm-x-8m-cho-may-in-brother-hang-nhap-khau-p275110954.html?spid=275110955,Nhãn In HZE-FX431 - Đen nền đỏ 12mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,150000.0,VND,Nhãn In,9669149213955,Puty,Trần Nguyễn Technology
275050578,275050579,https://tiki.vn/nhan-in-tz2-761-den-nen-xanh-la-36mm-x-8m-hang-nhap-khau-p275050578.html?spid=275050579,Nhãn In Tz2-761 - Đen nền xanh lá 36mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng nhập khẩu],0,0,0.0,185000.0,VND,Nhãn In,8722570227945,Puty,Trần Nguyễn Technology
273213974,273213975,https://tiki.vn/nhan-in-tz2-661-den-nen-vang-36mm-x-8m-hang-nhap-khau-p273213974.html?spid=273213975,Nhãn In Tz2-661 - Đen nền vàng 36mm x 8m - Dùng cho máy in BROTHER - AIMO - PUTY [Hàng Nhập Khẩu],0,0,0.0,185000.0,VND,Nhãn In,9603216161852,Puty,Trần Nguyễn Technology
