category,sub_category,product_id,title,sku_id,currency_name,sale_price_format,origin_price_format,discount_format,score,review_count,sold_count,seller_id,shop_name,updated_at,canonical_url
audio-video,speakers,1731620564817184388,"Bộ khuếch đại giọng nói, với 2 chiếc Micro ve áo không dây, dành cho giáo viên, Loa di động có pin dài, Máy nghe nhạc USB, Loa Bluetooth Hệ thống 3 trong 1, Thích hợp cho giảng dạy, Hướng dẫn, Bài phát biểu, Cuộc họp, Yoga, Huấn luyện viên",1731620564817249924,VND,594.412,646.100,8%,4.4,101,1009,8647554829770917508,HoloSpark,1755009613620,https://www.tiktok.com/shop/vn/pdp/bo-khuech-%C4%91ai-giong-noi-khong-day-cho-giao-vien-2-micro-pin-25h-bluetooth-am-thanh-ro-rang/1731620564817184388
audio-video,speakers,1731857210375046406,Loa Máy Tính Để Bàn Mini USB 20 Âm Thanh Chất Lượng Cao Thiết Kế Nhỏ Gọn Âm Thanh Rõ Nét Tiện Lợi Cho Văn Phòng Giải Trí Chơi Game Xem Phim Nghe Nhạc,1731857226190390534,VND,178.185,296.975,40%,5.0,1,27,7496250502141544710,Luxe3,1754420229243,https://www.tiktok.com/shop/vn/pdp/loa-usb2-0-mini-am-thanh-chat-luong-cao-dung-cho-game-music/1731857210375046406
audio-video,speakers,1731956919723919139,"[VOKUSS] Loa V3 kết nối với điện thoại, máy tính bảng,tiện lợi, nhanh chóng qua Bluetooth, Kết hợp với đồng hồ. âm thanh bass tốt, hỗ trợ thẻ nhớ TF, kết hợp bảo thức, chất âm tốt, đèn led nhiều màu sắc tạo nên không khí sôi động khi nghe nhạc",1731957014416820003,VND,169.000,449.900,62%,5.0,1,26,7496064908489362211,Vokuss smartwatch shop,1754697277848,https://www.tiktok.com/shop/vn/pdp/loa-v3-bluetooth-am-thanh-bass-tot-ho-tro-the-nho-led/1731956919723919139
audio-video,speakers,1732766022173689199,"Loa Bluetooth Mini BASIX X1 Không Dây,Trứng Nhấp Nháy nghe nhạc,công nghệ blutooth 5.0 Tặng Kèm Dây",1732765961223898479,VND,34.000,60.000,43%,0.0,0,4,7495849804516723055,FAN.HOUSE.STORE,1760026440629,https://www.tiktok.com/shop/vn/pdp/loa-bluetooth-mini-basix-x1-khong-day-cong-nghe-bluetoot-5-0/1732766022173689199
audio-video,speakers,1732260982770730895,"[ Thẻ Tích Điểm Online ] Loa Bluetooth 5.0 Đa Năng kết nối Máy Tính, Tivi,... Âm Thanh Vòm 8D Max BASS,Hiệu Ứng Rạp Chiếu Phim Cực Đã, Nghe Nhạc Củ Loa",1732260953741297551,VND,149.000,,,0.0,0,5349,7495006110847372175,BachNienStore,1756653723330,https://www.tiktok.com/shop/vn/pdp/loa-bluetooth-5-0-ket-noi-may-tinh-tv-am-thanh-vom-8d/1732260982770730895
audio-video,projectors,1732618044619327385,"Máy Chiếu Mini Cao Cấp SWI/KAW K670 Mới Nhất 2024 Chính Hãng KAW , Hỗ Trợ Hình Ảnh 4K Siêu Nét",1732618039736895385,VND,2.603.040,3.828.000,32%,0.0,0,2,7496297785395415961,KAW HomeTech,1759415620050,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-cao-cap-swi-670-4k-ultra-hd/1732618044619327385
audio-video,projectors,1731650714764150782,"Máy Chiếu MINI, YG300 Mới, Hệ Thống Gia Đình Cầm Tay, TV Thông Minh, Laser Beamer, Rạp Chiếu Phim 3D, Máy Chiếu Video LED, Tương Thích Với Phim 4k Và 1080P, Có Thể Được Phát Qua Cổng HD",1731650714764216318,VND,563.322,1.024.222,45%,0.0,0,1,8649263335072040958,ESTD 3C,1754749899528,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-yg300-portable-multi-port-1080p-400-lumen/1731650714764150782
audio-video,projectors,1732261325985318712,"Máy Chiếu LED Mini, YG300, Bán Chạy Nhất, Cầm Tay, Hỗ Trợ 4K, Tương Thích Điện Thoại Và Máy Tính, Có HDMI Và USB, Thích Hợp Cho Gia Đình, Bảo Hành Chính Hãng",1732261325985384248,VND,400.000,797.605,50%,0.0,0,2,8649377105317824312,Pine Cones,1756653775390,https://www.tiktok.com/shop/vn/pdp/may-chieu-led-mini-yg300-cam-tay-ho-tro-4k-bao-hanh-12-thang/1732261325985318712
audio-video,projectors,1731251902007773323,"KAW K660 Plus Máy Chiếu 4K Siêu Nét Android 10, Kết Nối Điện Thoại - Đổi mới 30N, Bảo Hành 12T maychieu mini máy  chiếu Projector Xem Phim 4K Bluetooth",1731252075862984843,VND,2.378.800,3.577.142,33%,0.0,0,3,7495569596250884235,Tân Bình Market Mall,1754839812128,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-660-plus-4k-android-10-hdmi-usb/1731251902007773323
audio-video,projectors,1731226584726930699,"Máy Chiếu mini Beecube X1 Gen 3 720HD, 250 Ansi lumen ( Chính hãng bảo hành 12 tháng, đổi mới 15 ngày )",1731226616899470603,VND,2.190.000,,,4.0,1,4,7494950048663701771,An Tuấn Audio.,1755016676353,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-beecube-x1-gen-3-720hd-250-lumen-android-tv/1731226584726930699
audio-video,projectors,1729430202234735607,Máy Chiếu Mini BeeCube X2 Max - Bảo Hành 12 Tháng,1729430201858427895,VND,3.990.000,,,0.0,0,1,7494630578984029175,inui19,1754418146805,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-beecube-x2-max-full-hd-android-os-wifi-bluetooth/1729430202234735607
audio-video,projectors,1730269526166898965,"Máy chiếu Wanbo Mini Pro, Máy Chiếu Mini Gía Rẻ, Độ Phân Giải HD, Hệ Điều Hành Android, Kết Nối Bluetooth, Projector Led Xem Phim Giải Trí",1730269526327200021,VND,1.990.000,,,5.0,1,1,7494699803499661589,SMConnection,1755095002812,https://www.tiktok.com/shop/vn/pdp/may-chieu-wanbo-mini-pro-hd-android-bluetooth-gia-re/1730269526166898965
audio-video,projectors,1732212778653943070,"Máy Chiếu Mini, Cho Điện Thoại, Máy Chiếu LED, Máy Chiếu Pico, YG300, Giá Cả Phải Chăng, Có HDMI, Tương Thích Với Máy Tính Xách Tay, Rạp Hát Gia Đình, Thích Hợp Cho Phòng Khách Gia Đình, Rạp Hát Tại Nhà, Cầm Tay Và Giá Cả Phải Chăng",1732212778654008606,VND,350.000,1.062.417,67%,0.0,0,2,8651393379833709854,ZENGHUIWEN6,1755613784741,https://www.tiktok.com/shop/vn/pdp/may-chieu-mini-yg300-led-hdmi-danh-cho-%C4%91ien-thoai-tv/1732212778653943070
audio-video,projectors,1731820081649387947,"Máy Chiếu Mini, HY300Pro, Máy Chiếu Cầm Tay Hỗ Trợ 1080p và 4K, Auto Keystone, Xoay 270 °, Có Bluetooth và WiFi 6, Tương Thích Với Điện Thoại / TV Stick / HDMI / PS5 / IOS, LYNCAST, [Android TV] Projector",1731820081649453483,VND,1.269.865,,,0.0,0,1,8648709481220572587,Smart cinema projector,0,https://www.tiktok.com/shop/vn/pdp/1731820081649387947
